subject,component,sov,cond,amplitude,is_peak
23,P2,pREM,Bl0T4,0.990595785809168,1
23,N350,pREM,Bl0T4,-1.68057765800344,1
24,N100,tREM,Bl0T1,1.09587530147112,1
24,P2,tREM,Bl0T1,2.79020683109145,1
24,N350,tREM,Bl0T1,-1.6504929262939,1
24,N100,tREM,Bl0T2,-0.375476345091891,1
24,P2,tREM,Bl0T2,1.40399720815266,1
24,N350,tREM,Bl0T2,-2.31092603542603,1
24,N100,tREM,Bl0T3,-0.377291342762171,1
24,P2,tREM,Bl0T3,1.75846075427481,1
24,N350,tREM,Bl0T3,-1.34958974290274,1
24,N100,tREM,Bl0T4,-1.12178339500071,1
24,P2,tREM,Bl0T4,0.941227779521539,1
24,N350,tREM,Bl0T4,-2.62291947963579,1
24,N100,pREM,Bl0T1,0.330104271386382,1
24,P2,pREM,Bl0T1,1.50655196022762,1
24,N350,pREM,Bl0T1,-1.6722214652469,1
24,N100,pREM,Bl0T2,-1.03028594241074,1
24,P2,pREM,Bl0T2,0.796549635042969,1
24,N350,pREM,Bl0T2,-2.06095027539858,1
24,N100,pREM,Bl0T3,-1.23182303734296,1
24,P2,pREM,Bl0T3,1.09888875843483,1
24,N350,pREM,Bl0T3,-1.87828664525164,1
24,N100,pREM,Bl0T4,-0.864355691920879,1
24,P2,pREM,Bl0T4,0.854259175443017,1
24,N350,pREM,Bl0T4,-1.86504235100164,1
25,N100,tREM,Bl0T1,-1.94178366146165,1
25,P2,tREM,Bl0T1,1.28385128625504,1
25,N350,tREM,Bl0T1,-3.71232071050388,1
25,N100,tREM,Bl0T2,-1.52999270288385,1
25,P2,tREM,Bl0T2,1.42146026018031,1
25,N350,tREM,Bl0T2,-2.76667115369457,1
25,N100,tREM,Bl0T3,-0.719169115458141,1
25,P2,tREM,Bl0T3,0.885048082455644,1
25,N350,tREM,Bl0T3,-2.02929660422981,1
25,N100,tREM,Bl0T4,-0.518637511985643,1
25,P2,tREM,Bl0T4,0.0521481597768364,1
25,N350,tREM,Bl0T4,-1.94771788559765,1
25,N100,pREM,Bl0T1,0.497629571706057,1
